County,Total Offenders
Albany,19
Bronx,16
Broome,2
Cattaraugus,1
Cayuga,6
Chautauqua,3
Chemung,1
Chenango,1
Clinton,5
Columbia,2
Dutchess,13
Erie,12
Essex,1
Genesee,1
Jefferson,2
Kings,90
Madison,4
Monroe,5
Multiple,3
Nassau,13
New York,160
Niagara,3
Onondaga,2
Orange,2
Oswego,1
Otsego,1
Queens,68
Rensselaer,1
Richmond,5
Rockland,5
Saratoga,1
Schenectady,2
Schoharie,1
Seneca,1
St. Lawrence,1
Steuben,1
Suffolk,15
Tioga,1
Tompkins,2
Ulster,3
Warren,1
Washington,1
Westchester,15
Wyoming,1
